city,lng,lat,Max Temp,Humidity,Wind Speed,Cloudiness,Country,Date
La Rioja,-2.5,42.25,18.91,63,2.02,15,ES,1623487192
Touros,-35.4608,-5.1989,22.5,91,5.36,100,BR,1623487193
Bethel,-73.414,41.3712,17.62,86,0.46,97,US,1623487193
Busselton,115.3333,-33.65,15.33,83,3.63,7,AU,1623487193
Faanui,-151.75,-16.4833,26.53,79,5.34,55,PF,1623487193
Lavrentiya,-171.0,65.5833,2.41,99,3.39,100,RU,1623487194
Pacific Grove,-121.9166,36.6177,16.0,80,0.45,23,US,1623487104
Jiangkou,119.1986,25.4872,28.94,79,2.32,11,CN,1623487195
High Level,-117.136,58.5169,7.06,100,1.03,1,CA,1623487144
Tiksi,128.8694,71.6872,7.29,58,6.03,100,RU,1623487195
Norman Wells,-126.8329,65.282,12.02,82,3.09,90,CA,1623487196
Sicamous,-118.9856,50.8331,12.94,80,1.35,100,CA,1623487196
Kapaa,-159.319,22.0752,25.99,80,4.12,90,US,1623487196
Havre-St-Pierre,-63.5986,50.2334,9.2,76,4.12,90,CA,1623487196
Port Hardy,-127.4199,50.6996,12.0,87,5.14,75,CA,1623487197
San Vicente,-54.1333,-26.6167,6.35,99,0.91,7,AR,1623487197
Baykit,96.37,61.67,16.52,46,5.7,99,RU,1623487197
Honiara,159.95,-9.4333,26.16,88,2.38,56,SB,1623487197
Bacungan,118.7022,9.9106,30.03,79,3.09,90,PH,1623487198
Khatanga,102.5,71.9667,8.51,55,3.2,100,RU,1623487198
Yārāda,83.2667,17.65,32.18,58,5.14,90,IN,1623486981
Avarua,-159.775,-21.2078,22.03,68,3.09,20,CK,1623487198
Marquette,-87.6335,46.5333,14.9,95,2.53,100,US,1623487198
Kupang,123.5833,-10.1667,29.32,65,5.66,20,ID,1623487169
Roebourne,117.1333,-20.7833,25.89,51,3.77,52,AU,1623487199
Fortuna,-124.1573,40.5982,16.62,71,0.45,90,US,1623487199
Saint Paul Harbor,-152.4072,57.79,9.73,71,3.09,1,US,1623487200
Makkah al Mukarramah,39.8261,21.4267,44.8,10,6.02,79,SA,1623487200
Fort Nelson,-122.7002,58.8053,7.77,100,1.03,75,CA,1623487200
Yellowknife,-114.3525,62.456,4.29,100,6.17,90,CA,1623487201
Pisco,-76.2167,-13.7,17.03,77,1.03,90,PE,1623487201
Leningradskiy,178.4167,69.3833,0.63,92,0.77,67,RU,1623487026
Saskylakh,114.0833,71.9167,12.86,32,4.91,90,RU,1623487201
Rawson,-65.1023,-43.3002,14.43,56,9.98,100,AR,1623486908
Lake City,-82.6393,30.1897,24.32,100,2.06,40,US,1623487202
Staroutkinsk,59.3348,57.2302,23.12,30,4.31,39,RU,1623487202
Castro,-50.0119,-24.7911,6.44,92,0.72,0,BR,1623487202
Arraial do Cabo,-42.0278,-22.9661,21.63,67,8.58,100,BR,1623487203
Tupelo,-88.7034,34.2576,24.16,94,0.0,1,US,1623487203
Shaowu,117.4831,27.3409,27.49,88,1.61,86,CN,1623487203
Carnarvon,113.6333,-24.8667,21.04,52,4.63,75,AU,1623487204
Bredasdorp,20.0403,-34.5322,15.71,94,0.0,100,ZA,1623487204
Lompoc,-120.4579,34.6391,15.82,86,0.0,1,US,1623486980
Tuatapere,167.6833,-46.1333,11.18,89,2.59,100,NZ,1623487205
Sitka,-135.33,57.0531,10.94,76,0.0,75,US,1623487133
Hong Kong,114.1577,22.2855,31.09,85,0.45,100,HK,1623487138
Banda Aceh,95.3222,5.5577,30.02,66,6.73,52,ID,1623487205
Port Alfred,26.891,-33.5906,24.79,35,7.21,91,ZA,1623487206
Ponta do Sol,-17.1,32.6667,23.17,75,0.73,0,PT,1623487206
Saint-Philippe,55.7679,-21.3585,25.77,77,6.35,60,RE,1623487206
Christchurch,172.6333,-43.5333,11.11,93,5.14,90,NZ,1623487075
Punta Arenas,-70.9167,-53.15,3.06,87,4.12,0,CL,1623487206
Pereyaslovskaya,39.0238,45.8412,24.43,57,3.42,1,RU,1623487207
Saint-Pierre,55.4781,-21.3393,25.82,57,6.17,0,RE,1623487186
Matara,80.5353,5.9485,28.99,72,6.64,98,LK,1623486920
Zabul Province,67.25,32.25,35.17,4,4.26,0,AF,1623487208
Oktyabr'skoye,44.7417,43.0645,23.08,60,2.0,20,RU,1623487208
Nikolskoye,30.7861,59.7035,16.94,97,2.25,100,RU,1623487208
Aykhal,111.5,66.0,11.22,51,11.66,100,RU,1623487208
Beringovskiy,179.3167,63.05,2.69,98,1.33,100,RU,1623487209
Aripuanã,-60.6333,-9.1667,22.04,81,1.73,50,BR,1623487209
Chino Valley,-112.4538,34.7575,20.17,21,0.89,1,US,1623486939
Richards Bay,32.0377,-28.783,22.66,55,4.76,0,ZA,1623487209
Lebu,-73.65,-37.6167,12.05,95,1.34,82,CL,1623487209
Modāsa,73.3,23.4667,40.4,28,5.2,0,IN,1623487210
Khorixas,14.9667,-20.3667,24.38,19,9.96,20,NA,1623487210
Mafeteng,27.2374,-29.823,15.09,40,3.09,12,LS,1623487210
Krasnovishersk,57.082,60.4078,25.0,26,2.94,32,RU,1623487210
Kaitangata,169.8464,-46.2817,9.96,84,1.76,99,NZ,1623487211
Atuona,-139.0333,-9.8,26.31,73,6.59,45,PF,1623487211
Te Anau,167.7167,-45.4167,10.65,95,0.41,100,NZ,1623487211
Mar del Plata,-57.5575,-38.0023,11.11,93,0.89,0,AR,1623487212
Kuragino,92.6725,53.8975,15.76,68,6.29,100,RU,1623487212
Gardez,69.2259,33.5974,28.67,7,6.04,0,AF,1623487212
Salta,-65.4117,-24.7859,6.16,96,0.45,0,AR,1623487212
Palmer,-72.3287,42.1584,16.66,80,2.57,90,US,1623487213
Tabou,-7.3528,4.423,26.35,84,0.66,93,CI,1623487018
Ribeira Grande,-28.7,38.5167,20.22,77,2.06,40,PT,1623486931
Strathmore,-113.3852,51.0501,10.87,62,4.63,7,CA,1623487213
George Town,100.3354,5.4112,32.97,69,4.47,20,MY,1623487185
Souillac,57.5167,-20.5167,25.21,65,7.72,75,MU,1623487214
Kahului,-156.47,20.8947,23.59,83,6.69,40,US,1623487214
Port Hedland,118.5667,-20.3167,26.03,69,2.57,90,AU,1623487214
Omsukchan,155.8,62.5333,8.79,54,1.32,41,RU,1623487215
Nome,-165.4064,64.5011,7.04,93,2.57,90,US,1623487142
Atikokan,-91.6216,48.7555,13.48,95,3.62,66,CA,1623487215
Butaritari,172.7902,3.0707,28.51,75,4.96,54,KI,1623487215
Tasiilaq,-37.6368,65.6145,2.09,99,1.16,100,GL,1623487216
Hamilton,-84.5333,39.1834,21.89,97,14.31,90,US,1623486937
Barrow,-156.7887,71.2906,-1.99,93,2.06,90,US,1623487217
Almeria,-2.3333,37.1667,24.09,39,4.65,0,ES,1623487217
Ambanja,48.45,-13.6833,27.96,55,2.08,0,MG,1623487217
Lagoa,-27.9833,39.05,18.88,83,1.86,0,PT,1623487217
Pidhaytsi,25.1334,49.2685,21.48,74,4.27,26,UA,1623487218
Constantine,6.6147,36.365,24.67,38,1.03,0,DZ,1623487218
Balkanabat,54.3671,39.5108,34.25,27,5.45,0,TM,1623487218
Yenagoa,6.2642,4.9247,28.06,75,1.4,100,NG,1623487218
Bahía de Caráquez,-80.4167,-0.6,22.1,87,2.7,99,EC,1623487219
Codajás,-62.0569,-3.8367,22.2,98,0.77,100,BR,1623487219
Talnakh,88.3972,69.4865,1.7,100,2.52,100,RU,1623486993
Zvishavane,30.0665,-20.3267,19.74,39,2.78,0,ZW,1623487219
Baoro,15.9667,5.6667,28.63,57,3.32,71,CF,1623487219
Chapais,-74.8492,49.7834,4.88,68,2.04,0,CA,1623487023
Chokurdakh,147.9167,70.6333,19.86,23,6.47,72,RU,1623487220
Dali,100.1833,25.7,23.95,65,1.63,62,CN,1623487220
Geraldton,114.6,-28.7667,19.51,82,4.63,40,AU,1623487077
Gigmoto,124.39,13.7796,27.93,78,1.97,100,PH,1623487221
Samarinda,117.15,-0.5,27.89,76,1.12,99,ID,1623487221
Hilo,-155.09,19.7297,22.11,90,2.57,90,US,1623487221
Boende,20.8667,-0.2167,33.14,38,1.52,73,CD,1623487221
Xiongyue,122.1228,40.1774,25.38,63,4.43,79,CN,1623487222
Liberal,-100.921,37.0431,22.08,78,4.12,90,US,1623487223
Pevek,170.3133,69.7008,0.54,87,0.65,23,RU,1623487223
Auki,160.7034,-8.7676,25.34,84,1.5,9,SB,1623487223
Sokoni,39.55,-6.4333,29.16,67,8.28,10,TZ,1623487224
Hofn,-15.2082,64.2539,6.49,52,7.5,4,IS,1623487224
La Ronge,-105.2842,55.1001,12.14,94,3.09,90,CA,1623487224
Aklavik,-135.0107,68.2191,13.4,55,3.59,100,CA,1623487224
Marabu,114.0089,4.4148,31.08,66,4.12,40,MY,1623487224
Goderich,-81.7165,43.7501,17.18,77,3.09,85,CA,1623487225
Luganville,167.1667,-15.5333,25.42,72,5.43,26,VU,1623486977
Alofi,-169.9187,-19.0595,22.94,68,7.72,98,NU,1623487226
Dikson,80.5464,73.5069,0.23,92,1.99,98,RU,1623487033
Hasaki,140.8333,35.7333,28.99,75,6.18,37,JP,1623487227
Pedro Carbo,-80.2333,-1.8333,21.71,90,1.24,66,EC,1623487227
Krasnosel'kup,82.4667,65.7,7.52,93,1.58,100,RU,1623487227
Chui,-53.4616,-33.6971,7.7,79,4.0,65,UY,1623487228
Narsaq,-46.05,60.9167,6.12,82,1.1,97,GL,1623487228
Harper,-7.7169,4.375,26.53,83,1.3,98,LR,1623486940
Atbasar,68.3333,51.8,22.27,27,3.04,13,KZ,1623487228
Gisborne,178.0042,-38.6533,11.08,90,1.96,76,NZ,1623487229
Faya,42.4509,18.3851,30.06,13,1.93,48,SA,1623487229
Ketchikan,-131.6461,55.3422,12.99,81,2.57,20,US,1623487229
Thunder Bay,-89.3168,48.4001,15.55,98,3.09,90,CA,1623487229
Ahipara,173.1667,-35.1667,14.39,92,2.73,98,NZ,1623487229
College,-147.8028,64.8569,13.99,67,0.0,75,US,1623487230
Margate,1.3862,51.3813,19.98,78,4.26,100,GB,1623486988
Paro,89.4133,27.4305,17.81,95,1.35,100,BT,1623487230
Constitución,-72.4167,-35.3333,12.5,88,2.35,1,CL,1623486999
Mattru,-11.8332,7.6244,25.51,86,1.11,90,SL,1623487231
Inírida,-67.9239,3.8653,22.18,100,0.51,100,CO,1623487231
Lundazi,33.1782,-12.2929,23.74,33,2.54,0,ZM,1623487231
Nemuro,145.575,43.3236,19.24,95,11.1,49,JP,1623487030
Oranjemund,16.4333,-28.55,21.84,38,0.68,99,NA,1623487232
Nyurba,118.3319,63.2842,17.46,28,3.64,91,RU,1623487232
Nicoya,-85.452,10.1483,23.78,93,0.67,70,CR,1623486987
Pangai,-174.35,-19.8,23.63,70,11.22,32,TO,1623487232
Longyearbyen,15.6401,78.2186,2.91,60,5.14,75,SJ,1623487233
Binzhou,118.0167,37.3667,37.37,23,2.0,46,CN,1623487129
Karaton,106.1045,-6.3424,31.85,67,1.38,82,ID,1623487233
Lüderitz,15.1594,-26.6481,21.73,44,4.58,100,NA,1623487233
Safford,-109.7076,32.834,23.92,8,2.57,1,US,1623486977
Byron Bay,153.6167,-28.65,14.28,66,2.26,5,AU,1623487234
Tahe,124.7333,52.3333,26.56,30,1.73,74,CN,1623487234
Murindó,-76.7544,6.9848,23.61,98,1.23,100,CO,1623487235
Codrington,141.9667,-38.2667,12.45,82,2.9,100,AU,1623486996
Zhigansk,123.3711,66.7697,14.82,35,7.12,83,RU,1623487235
Inhambane,35.3833,-23.865,23.15,64,2.1,10,MZ,1623487235
Arcata,-124.0828,40.8665,16.77,96,0.0,90,US,1623487236
Atyrau,51.8833,47.1167,30.01,32,4.0,75,KZ,1623487236
Ilulissat,-51.1,69.2167,3.01,81,1.54,75,GL,1623487072
Tacuatí,-56.5833,-23.45,11.57,98,1.11,1,PY,1623487236
Marsh Harbour,-77.0636,26.5412,25.98,77,4.82,6,BS,1623487237
Kirkenes,30.0458,69.7271,25.53,33,8.75,0,NO,1623487237
Madimba,40.3333,-10.4,27.62,52,5.78,0,TZ,1623487237
Alice Springs,133.8833,-23.7,22.75,13,0.0,40,AU,1623487028
San Javier,-0.8374,37.8063,28.78,47,3.13,40,ES,1623487238
Chiredzi,31.6667,-21.05,22.82,43,2.35,0,ZW,1623487238
Caconda,15.0667,-13.7333,21.32,22,3.92,0,AO,1623487238
Pedernales,-71.744,18.0384,25.78,73,1.84,67,DO,1623487238
Karratha,116.8463,-20.7377,25.28,50,4.2,74,AU,1623487239
Champerico,-91.9167,14.3,27.97,86,4.18,100,GT,1623487239
Esperance,121.9,-33.8667,15.91,77,4.48,48,AU,1623487239
Guerrero Negro,-114.0611,27.9769,15.94,89,7.69,12,MX,1623487239
Río Gallegos,-69.2181,-51.6226,3.03,93,3.09,0,AR,1623487240
Hagdan,123.9,11.3333,27.77,71,1.2,98,PH,1623487240
Gouré,10.2704,13.9835,33.9,33,7.49,100,NE,1623487022
Bambous Virieux,57.7575,-20.3428,25.14,65,7.72,75,MU,1623487241
Half Moon Bay,-122.4286,37.4636,16.9,81,0.0,90,US,1623487241
San Cristobal,-72.225,7.7669,17.63,96,1.92,52,VE,1623487242
Mosterhamn,5.3833,59.7,13.11,74,6.45,97,NO,1623487242
Kodinsk,99.1844,58.6881,19.76,26,1.29,5,RU,1623487243
Kibala,18.3463,9.1104,31.97,51,4.12,0,TD,1623487243
Eyl,49.8164,7.9803,33.58,38,11.77,75,SO,1623487243
Villa Unión,-106.2333,23.2,28.34,94,0.0,75,MX,1623487243
Marathon,-89.7668,44.9,20.11,94,1.54,1,US,1623487243
Sena Madureira,-68.6569,-9.0656,19.75,84,2.18,100,BR,1623487244
Dingle,122.6711,10.9995,27.26,82,0.94,100,PH,1623486971
Khovd,91.6419,48.0056,23.19,16,5.14,40,MN,1623487244
Olafsvik,-23.7142,64.8945,4.97,55,3.73,12,IS,1623487244
Dzilam González,-88.9333,21.2833,23.58,92,1.05,100,MX,1623487245
Mehamn,27.8492,71.0357,18.6,51,8.45,14,NO,1623487245
Vaitape,-151.75,-16.5167,26.5,79,5.24,55,PF,1623487245
Nhamundá,-56.7131,-2.1861,21.82,99,1.0,89,BR,1623487246
Chimoio,33.4833,-19.1164,19.92,60,5.14,20,MZ,1623487246
Sisimiut,-53.6735,66.9395,3.34,73,1.34,12,GL,1623487246
São Félix do Xingu,-51.995,-6.6447,20.33,75,0.38,100,BR,1623487247
Allāhganj,79.6833,27.55,40.22,26,3.65,65,IN,1623487247
Rabo de Peixe,-25.5833,37.8,19.73,77,1.54,20,PT,1623487247
Sinnamary,-52.95,5.3833,23.38,93,2.48,100,GF,1623487247
Afzalpur,76.35,17.2,31.89,50,9.05,98,IN,1623487248
Vao,167.4833,-22.6667,22.86,81,8.69,100,NC,1623487248
Oussouye,-16.5469,12.485,27.1,70,2.23,96,SN,1623487248
Natal,-35.2094,-5.795,23.12,88,4.12,20,BR,1623487249
Cidreira,-50.2056,-30.1811,10.11,75,5.28,36,BR,1623487249
Areia Branca,-37.1369,-4.9561,22.63,83,3.67,30,BR,1623487250
Terney,136.6092,45.0503,21.54,63,3.47,27,RU,1623487250
Hualmay,-77.6139,-11.0964,17.41,86,2.85,55,PE,1623487250
Agüimes,-15.4461,27.9054,20.35,73,10.29,20,ES,1623487250
Ha Giang,104.9833,22.8333,33.96,58,1.15,44,VN,1623487067
Pochutla,-96.4661,15.7432,23.23,90,1.29,100,MX,1623487251
Aleksandrov Gay,48.5704,50.147,26.44,47,3.79,7,RU,1623487251
Vestmannaeyjar,-20.2734,63.4427,6.98,54,4.62,7,IS,1623487251
Ambon City,128.1814,-3.6954,29.08,79,2.06,40,ID,1623487252
Aswān,32.907,24.0934,43.04,9,7.07,0,EG,1623487252
Moussoro,16.4901,13.6408,39.24,20,3.48,33,TD,1623487252
North Platte,-100.7654,41.1239,14.1,71,1.54,1,US,1623487252
Ancud,-73.8203,-41.8697,11.74,96,3.05,100,CL,1623487253
Bushehr,50.8385,28.9684,31.05,48,5.14,0,IR,1623487253
Kumul,93.45,42.8,29.62,20,1.95,59,CN,1623487079
Isangel,169.2667,-19.55,23.24,82,6.29,100,VU,1623487253
Labuhan,112.2051,-6.8844,29.95,66,5.31,8,ID,1623487254
Polson,-114.1632,47.6936,11.34,63,0.76,68,US,1623487254
Nuuk,-51.7216,64.1835,4.34,81,1.03,90,GL,1623487254
Monrovia,-10.7969,6.3005,24.87,74,1.13,99,LR,1623487254
Fengrun,118.1167,39.8333,33.75,30,6.99,94,CN,1623487255
Wasilla,-149.4394,61.5814,11.46,79,0.0,1,US,1623487255
Bone,12.1396,51.9669,23.44,67,6.21,100,DE,1623487255
Vila Franca do Campo,-25.4333,37.7167,20.23,69,0.93,0,PT,1623487255
Acapulco de Juárez,-99.8901,16.8634,26.07,83,1.28,100,MX,1623487045
Kieta,155.6333,-6.2167,26.45,78,3.28,3,PG,1623487256
Bengkulu,102.2655,-3.8004,28.71,68,2.79,13,ID,1623487256
Carira,-37.7011,-10.3608,17.63,95,1.05,5,BR,1623487256
Vanavara,102.2797,60.34,17.45,34,4.0,76,RU,1623487256
Deputatsky,139.9,69.3,15.9,46,8.02,100,RU,1623487257
Winslow,-110.6974,35.0242,19.1,9,0.0,1,US,1623487218
Yantzaza,-78.7594,-3.8278,18.99,99,0.17,94,EC,1623487257
Khandyga,135.6,62.6667,20.31,48,4.38,83,RU,1623487257
Mahébourg,57.7,-20.4081,25.16,65,7.72,75,MU,1623487258
Zhangzhou,117.6556,24.5133,31.96,81,2.02,97,CN,1623487131
Ixtapa,-105.2,20.7,24.34,85,0.35,14,MX,1623487258
Cabo San Lucas,-109.9124,22.8909,28.56,68,3.84,6,MX,1623486988
Sovetskiy,63.5842,61.3614,27.51,21,3.07,53,RU,1623487259
Clyde River,-68.5914,70.4692,2.13,80,4.63,1,CA,1623487259
Canguaretama,-35.1289,-6.38,23.27,94,3.55,75,BR,1623487259
Plettenberg Bay,23.3716,-34.0527,21.17,43,1.84,100,ZA,1623487260
Bongandanga,21.05,1.5,34.94,34,1.27,95,CD,1623487260
Innisfail,146.0333,-17.5333,21.17,91,2.58,100,AU,1623487261
Saint George,-113.5841,37.1041,21.33,14,0.89,1,US,1623487262
Malanje,16.341,-9.5402,24.45,24,4.39,18,AO,1623487262
Rio Grande,-52.0986,-32.035,4.41,66,4.9,81,BR,1623486976
Bunia,30.25,1.5667,27.48,42,3.67,92,CD,1623487109
Kingsport,-82.5618,36.5484,22.09,98,1.54,90,US,1623487263
Belém de São Francisco,-38.9658,-8.7539,18.64,95,3.75,73,BR,1623487263
Mount Isa,139.5,-20.7333,23.87,15,2.57,5,AU,1623487264
Darnah,22.6367,32.767,23.57,69,5.89,8,LY,1623487264
Dawson Creek,-120.2362,55.7666,11.8,47,1.03,1,CA,1623487264
San Felipe,-68.7425,10.3399,20.76,95,0.72,79,VE,1623487264
Elliot,27.85,-31.3333,18.21,29,7.51,39,ZA,1623487264
Cockburn Town,-71.1419,21.4612,26.66,78,7.29,17,TC,1623487265
Itigi,34.4833,-5.7,24.36,40,4.54,56,TZ,1623487265
Musoma,33.8,-1.5,24.01,64,4.12,1,TZ,1623487265
Paramonga,-77.8333,-10.6667,18.01,86,2.71,68,PE,1623487265
Kavaratti,72.642,10.5669,28.82,76,9.72,100,IN,1623487266
Collie,116.15,-33.3667,13.67,81,2.12,7,AU,1623487266
Salekhard,66.6019,66.53,24.56,35,6.75,100,RU,1623487266
Naze,129.4833,28.3667,25.51,85,1.57,100,JP,1623487266
Necochea,-58.7368,-38.5473,8.35,79,4.49,43,AR,1623487267
Kalianget,113.9333,-7.05,29.0,67,4.8,2,ID,1623487267
Iqaluit,-68.5145,63.7506,-1.15,92,5.36,40,CA,1623487207
Nishihara,127.7558,26.1842,29.82,76,4.12,75,JP,1623487267
Vardø,31.1107,70.3705,19.99,49,7.72,0,NO,1623487268
Kayerkan,87.7602,69.3497,1.51,100,1.89,100,RU,1623487268
East London,27.9116,-33.0153,28.52,21,4.63,0,ZA,1623487268
Peniche,-9.3811,39.3558,24.23,74,2.88,86,PT,1623487268
Novoagansk,76.6625,61.9449,17.11,66,4.01,100,RU,1623487268
Bonavista,-53.1147,48.6499,5.0,77,5.01,10,CA,1623487269
Haverfordwest,-4.9691,51.8017,16.76,77,3.56,58,GB,1623487269
Nanortalik,-45.2371,60.1432,2.95,92,3.23,98,GL,1623487034
Poum,164.0167,-20.2333,24.06,79,6.33,100,NC,1623487110
Praia,-23.5087,14.9215,24.3,83,7.2,75,CV,1623487248
Anloga,0.8973,5.7947,26.12,73,2.19,83,GH,1623487164
Soto la Marina,-98.2167,23.7667,23.76,76,1.07,100,MX,1623487270
Hūn,15.9477,29.1268,26.24,37,1.07,0,LY,1623487046
Lugo,-7.5,43.0,21.54,61,1.79,3,ES,1623487270
Kailua,-157.7394,21.4022,25.01,65,8.77,33,US,1623487271
Bulgan,103.5347,48.8125,16.56,63,3.16,97,MN,1623487003
Port Elizabeth,25.5701,-33.918,21.16,60,5.66,0,ZA,1623487271
Kiryat Gat,34.7642,31.61,33.21,29,4.16,0,IL,1623487271
Ratnagiri,73.3,16.9833,25.27,94,7.56,100,IN,1623487272
Santa Maria,-53.8069,-29.6842,8.13,78,1.8,37,BR,1623487044
Khuzhir,107.3397,53.1939,10.28,68,2.53,43,RU,1623487272
Coquimbo,-71.3436,-29.9533,9.85,100,1.54,75,CL,1623487272
Belchertown,-72.4009,42.277,16.29,86,2.57,90,US,1623487273
Nakhodka,132.8947,42.8333,19.33,75,1.5,24,RU,1623487273
Puerto del Rosario,-13.8627,28.5004,21.82,78,8.23,20,ES,1623487273
Quatre Cocos,57.7625,-20.2078,25.06,67,8.01,100,MU,1623487273
Luanda,13.2343,-8.8368,25.92,75,2.52,66,AO,1623487132
Clarksburg,-80.3445,39.2807,20.58,96,2.57,75,US,1623487274
Black Diamond,-122.0032,47.3087,12.37,94,1.49,77,US,1623487274
Ilebo,20.5833,-4.3167,30.92,34,2.5,91,CD,1623487274
Ushtobe,77.9838,45.2514,25.34,23,10.43,8,KZ,1623487171
Namatanai,152.4333,-3.6667,27.24,73,4.0,8,PG,1623487275
Tigil',158.6667,57.8,9.57,69,3.71,9,RU,1623487275
Mergen,125.2167,49.1833,26.31,52,1.87,52,CN,1623487275
Hobyo,48.5268,5.3505,29.62,60,11.08,90,SO,1623487275
Viedma,-62.9967,-40.8135,13.6,66,6.34,100,AR,1623487275
Pauini,-66.9764,-7.7136,22.51,87,2.21,98,BR,1623487276
Samālkha,77.0167,29.2333,43.45,19,3.59,5,IN,1623487276
Flinders,150.8552,-34.5833,14.54,59,3.58,100,AU,1623487276
Poykovskiy,73.3333,61.2333,21.16,56,5.0,0,RU,1623487277
Qui Nhon,109.2333,13.7667,29.67,63,7.01,100,VN,1623487038
Kearney,-99.0815,40.6995,17.19,72,2.57,1,US,1623487089
Alta Floresta,-56.0861,-9.8756,20.68,71,2.02,58,BR,1623487277
Jalu,21.5482,29.0331,28.72,37,4.84,0,LY,1623487018
Arandis,14.9667,-22.4167,28.03,15,7.89,38,NA,1623487210
Coyhaique,-72.0662,-45.5752,6.97,70,1.54,100,CL,1623487278
Sabang,95.3214,5.8933,28.71,75,9.32,75,ID,1623487278
Ugoofaaru,73.0,5.6667,28.58,74,6.73,100,MV,1623487278
Buala,159.5921,-8.145,26.64,76,3.17,8,SB,1623487071
São Filipe,-24.4956,14.8961,23.61,80,2.11,100,CV,1623487279
